,video,autonomy,interventions,video_length
116,7e8791f34e104d61,0.3529411764705882,11,36.0
124,4ec04cd90bd248ea,0.3529411764705882,11,36.0
0,1fe218d6a69d411e,0.375,10,36.0
10,d20220cd1a924251,0.4285714285714286,8,36.0
66,39836ba472d4446e,0.4285714285714286,8,36.0
142,24ba83bbf4314e65,0.4285714285714286,8,36.0
9,92aef5de952c499e,0.4592835493828237,9,45.86749975585938
135,524558263bd84070,0.46153846153846156,7,36.0
23,59ce46ec60254518,0.46153846153846156,7,36.0
95,991fa8fee0eb4117,0.46153846153846156,7,36.0
127,0f7983aee856498c,0.46153846153846156,7,36.0
43,34575f86c87945bf,0.46153846153846156,7,36.0
117,30fc48348d3c4039,0.5,6,36.0
85,31e8cad6ea1646ad,0.5,6,36.0
87,47952aa2112747b4,0.5,6,36.0
131,5bd4492f440f4e20,0.5,6,36.0
1,518874440faa42b9,0.5454545454545454,5,36.0
26,8686aa3710cb43ef,0.5454545454545454,5,36.0
18,c46bf2b960424f12,0.5454545454545454,5,36.0
75,1681f731fa0f45e8,0.5454545454545454,5,36.0
3,beab986702ed4f65,0.5454545454545454,5,36.0
98,75bf8afbbeca43fe,0.5454545454545454,5,36.0
54,7874325087994661,0.5454545454545454,5,36.0
45,ad75efed8f4942b4,0.5967709411718665,5,44.39939990234375
71,1545235a74c948b5,0.6,4,36.0
52,099ffdfefd6e45ca,0.6,4,36.0
115,f66d23c318cf42d7,0.6,4,36.0
105,110f9875140749d8,0.6,4,36.0
113,64503c7c8f6b41bf,0.6,4,36.0
119,73a1a06faa5b44d1,0.6,4,36.0
125,2842886c6e9f4ddd,0.6,4,36.0
132,0420acd8b1d9415f,0.6,4,36.0
136,bc287cca61ee4f4d,0.6,4,36.0
139,01fd5e96d7134f50,0.6,4,36.0
89,a571aa519e064436,0.6,4,36.0
39,8017155a74fe4d5e,0.6,4,36.0
144,fcef7060fff5415a,0.6,4,36.0
7,36e685f9fcf44351,0.6,4,36.0
34,4e9b6559753d4125,0.6,4,36.0
33,4506fb78bedd4fbc,0.6,4,36.0
36,eb21da8af9354337,0.6,4,36.0
17,7c53a433656b4f9f,0.6,4,36.0
20,04569bc7dbc44e3f,0.6,4,36.0
141,46458741ab4b477a,0.6407171426178214,5,53.499669921875
37,cd082a976fc443ab,0.6666666666666667,3,36.0
76,8d0b7465b2d349eb,0.6666666666666667,3,36.0
27,2e0ac7b75b7f48dc,0.6666666666666667,3,36.0
86,7343e188a557484c,0.6666666666666667,3,36.0
25,781aa0bc750c4c95,0.6666666666666667,3,36.0
92,acabcab5f3b14602,0.6666666666666667,3,36.0
96,21360f50b5ec46fc,0.6666666666666667,3,36.0
21,ccc46f137b8044eb,0.6666666666666667,3,36.0
19,7c2d1a31ffc0483e,0.6666666666666667,3,36.0
110,203b0c200258434f,0.6666666666666667,3,36.0
68,3bf0bc84ada845d0,0.6666666666666667,3,36.0
114,671a87f4eb424ab6,0.6666666666666667,3,36.0
120,71c214895abc45b4,0.6666666666666667,3,36.0
121,a6e42384a3494fd3,0.6666666666666667,3,36.0
126,0d26551740c24c92,0.6666666666666667,3,36.0
130,2401d0b90fc445c6,0.6666666666666667,3,36.0
138,860753a346ee440f,0.6666666666666667,3,36.0
102,750040ae79da4d65,0.6666666666666667,3,36.0
67,9e3a3b2cea0b46d5,0.6666666666666667,3,36.0
90,0766b1e59bc6430f,0.6666666666666667,3,36.0
38,198d3b207ae34fba,0.6666666666666667,3,36.0
41,65c35d214f614380,0.6666666666666667,3,36.0
60,66647521f6e94d3e,0.6666666666666667,3,36.0
112,ee33b6e2499e4e9e,0.6875,5,66.0
109,6a2c87f4b0c346f3,0.6898359232033746,5,66.723
78,be8e8fa9809643aa,0.7108433734939759,4,59.0
93,1a8a1fc5927a44d6,0.75,2,36.0
22,cf8a911d9e374971,0.75,2,36.0
97,c1a7e181ce2946b9,0.75,2,36.0
100,d8d2b4a6a39b4ad6,0.75,2,36.0
107,1f368d7ef13040c7,0.75,2,36.0
108,26f1950c21de4ac6,0.75,2,36.0
111,337bb8a920744182,0.75,2,36.0
64,35613a3cb1cf4ffd,0.75,2,36.0
47,dfd078b834ba473e,0.75,2,36.0
16,4b9cf37316194534,0.75,2,36.0
14,ed774a4cdf3741c7,0.75,2,36.0
123,6b7d9b0cf01e4d3f,0.75,2,36.0
13,70cbb5a398bf43e4,0.75,2,36.0
42,4cc9797ac787401c,0.75,2,36.0
137,2d6bc4ef81ad42f5,0.75,2,36.0
4,a9367e784ade4e81,0.75,2,36.0
55,2a48f656eede422e,0.75,2,36.0
24,2afda931d6ef4c81,0.75,2,36.0
104,c121992e58ce4cd8,0.75,2,36.0
77,88a1b430b01b489a,0.75,2,36.0
58,7b2c1a0ee5f446c2,0.75,2,36.0
88,96eda9e9463044b3,0.75,2,36.0
84,708b34da06f94554,0.75,2,36.0
83,bc395fad82974bab,0.75,2,36.0
80,c46f4f6c745f4965,0.75,2,36.0
69,9315a1c6935940a6,0.75,2,36.0
29,97ff9625e4ea4af5,0.75,2,36.0
74,34bf30bb101447b2,0.7662337662337663,3,59.0
57,9d24fa86bb1e4894,0.766738501746223,3,59.166614013671875
2,a52f549f983d4d43,0.8421052631578947,2,64.0
5,947d8caf831b4bff,0.8471325893582823,2,66.49939990234375
15,96ea6b3045e346c8,0.8571428571428572,1,36.0
118,8e1af6b945eb41ea,0.8571428571428572,1,36.0
122,a30701d0d04e4aaf,0.8571428571428572,1,36.0
11,cb15ebb6ddd0498a,0.8571428571428572,1,36.0
12,98b0935d5af84f66,0.8571428571428572,1,36.0
61,3c178eac2eeb4255,0.8571428571428572,1,36.0
40,62cf50ef91dc4fe3,0.8571428571428572,1,36.0
133,9e0ec205aae64dea,0.8571428571428572,1,36.0
62,41b3d047e5544ca0,0.8571428571428572,1,36.0
140,631e81945f814203,0.8571428571428572,1,36.0
65,3d05d3d3f3d5419d,0.8571428571428572,1,36.0
70,687a5dee0e2947a5,0.8571428571428572,1,36.0
48,d53a80908b0541dd,0.8571428571428572,1,36.0
73,a9653df15703466f,0.8571428571428572,1,36.0
63,4dd7f78ed0844d1a,0.8571428571428572,1,36.0
82,8d9913473dc44e63,0.8571428571428572,1,36.0
49,677bea4d35a441bb,0.8571428571428572,1,36.0
31,28687462594440ec,0.8571428571428572,1,36.0
32,3bfc46986dac4aff,0.8571428571428572,1,36.0
99,1c820d64b4af4c85,0.8571428571428572,1,36.0
106,4fb5405c742f4231,0.8571428571428572,1,36.0
53,0b0fc9be2dce4de8,0.8571428571428572,1,36.0
91,fc4703258c8e459d,0.8571428571428572,1,36.0
79,abc2e71baff747d3,0.8571428571428572,1,36.0
50,868d0aac00604b95,0.8571428571428572,1,36.0
143,40fb624dbc6f4e0e,0.8796775352068423,1,43.86599975585938
30,1ef5512421f14c15,1.0,0,36.0
35,c8fb1b9720874ddd,1.0,0,36.0
94,c612c00eeb1d466e,1.0,0,36.0
56,b94466f5e7c5462f,1.0,0,36.0
6,c1fbcc8bee8d4878,1.0,0,36.0
59,ee52b63533e64e1d,1.0,0,36.0
28,c15bf571fa864e0c,1.0,0,36.0
129,e9a74da08c814aa4,1.0,0,36.0
8,0ef581bf4a424ef1,1.0,0,36.0
128,6aa9b93c75204c8e,1.0,0,36.0
101,08f464e9113e4749,1.0,0,40.5
103,5b8e285bb95f4634,1.0,0,36.0
51,68c845f010764969,1.0,0,36.0
44,ce22d2e90c8b415b,1.0,0,36.0
46,de07d81e77c24fe4,1.0,0,36.0
81,927f8369bba84cbd,1.0,0,36.0
134,cb2b6c59865a46e6,1.0,0,36.0
72,efcf6c44e7b94ea9,1.0,0,36.0
